client,glue_opcode,nobs,runtime,p_value,rsquared
ethrex-v9.0.0__zisk-v0.15.0,ADD,1716,0.00013401067893635868,0.398,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,AND,1716,0.00253221458198818,0.009,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,CALLDATACOPY,1716,0.004327521382441144,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,CALLDATALOAD,1716,0.0,1.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,CALLDATASIZE,1716,0.001569160680626523,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,CODECOPY,1716,0.003958589184222839,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP1,1716,0.0013688454171355785,0.006,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP10,1716,0.0014376462967117406,0.034,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP11,1716,0.0014832111706698404,0.027,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP12,1716,0.001451782805692564,0.023,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP13,1716,0.0014382457284964545,0.031,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP14,1716,0.003059663597955344,0.014,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP15,1716,0.001483974333668901,0.027,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP16,1716,0.0014436277053010908,0.022,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP2,1716,0.0025441673498046184,0.051,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP3,1716,0.001434490367187855,0.025,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP4,1716,0.0014630273870346587,0.025,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP5,1716,0.0014893544594193973,0.019,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP6,1716,0.0014174198594265573,0.029,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP7,1716,0.001566206423171208,0.027,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP8,1716,0.001356155409031077,0.026,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,DUP9,1716,0.0014246528198251565,0.039,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,GAS,1716,0.001955979036426194,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,JUMP,1716,0.005629900782262369,0.058,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,JUMPDEST,1716,0.0010804914854221303,0.001,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,MLOAD,1716,0.011565853750593404,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,MSIZE,1716,0.0017406167451118322,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,MSTORE,1716,0.006947191709156581,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,MSTORE8,1716,0.0,1.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,PC,1716,0.0014921576281811757,0.019,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,PUSH0,1716,0.0013839801700690612,0.015,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,PUSH1,1716,0.001353361431289296,0.126,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,PUSH2,1716,0.0024492505633704757,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,PUSH20,1716,0.005615652967786417,0.003,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,PUSH3,1716,0.002510513289997178,0.004,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,PUSH32,1716,0.009052021464255561,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,RETURNDATASIZE,1716,0.002658005121693022,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,SELFBALANCE,1716,0.013447787406921728,0.0,0.2842407966068624
ethrex-v9.0.0__zisk-v0.15.0,SHL,1716,0.0020270010726457246,0.025,0.2842407966068624
reth-v1.11.0__zisk-v0.15.0,ADD,1735,0.0013397347559925324,0.1,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,AND,1735,0.001698808116053582,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,CALLDATACOPY,1735,0.004483490460319021,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,CALLDATALOAD,1735,0.0,1.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,CALLDATASIZE,1735,0.001440288759584034,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,CODECOPY,1735,0.006320447337624746,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP1,1735,0.0027345303109434925,0.002,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP10,1735,0.001045579677345237,0.017,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP11,1735,0.0010347360237035568,0.024,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP12,1735,0.0022254992845966467,0.01,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP13,1735,0.0010076682467800833,0.018,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP14,1735,0.0010859858993521457,0.022,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP15,1735,0.0010625670650768516,0.01,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP16,1735,0.0010687810563300244,0.02,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP2,1735,0.0008131812445354257,0.042,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP3,1735,0.0010138950286961309,0.022,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP4,1735,0.0010212986157479647,0.019,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP5,1735,0.001068167924093048,0.018,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP6,1735,0.001007301331914433,0.019,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP7,1735,0.0010339661406396155,0.024,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP8,1735,0.0009669342537195517,0.023,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,DUP9,1735,0.0010287847745519814,0.021,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,GAS,1735,0.0012492050752167846,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,JUMP,1735,0.0,1.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,JUMPDEST,1735,0.0005254126389421878,0.005,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,MLOAD,1735,0.0065042740704571046,0.039,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,MSIZE,1735,0.0011530448775505162,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,MSTORE,1735,0.012429700356474971,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,MSTORE8,1735,0.002132923803161071,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,PC,1735,0.002311950027028669,0.002,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,PUSH0,1735,0.0013661723162064908,0.0,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,PUSH1,1735,0.0006862222725071691,0.197,0.43162569094685943
reth-v1.11.0__zisk-v0.15.0,PUSH2,1735,0.0012431011692901432,0.005,0.43162569094685943
